Analysis Datetime,Alkalinity Mean,Alkalinity Std,Alkalinity Count,DIC Mean,DIC Std,DIC Count
2022-08-27 10:40:00,2370.012093833684,,1,2125.1237858337154,,1
2022-08-27 12:36:00,2371.3542476648586,,1,2122.094945742884,,1
2022-08-27 14:34:00,2369.678460988516,,1,2119.556748260155,,1
2022-08-27 16:32:00,2365.587627228719,,1,2120.6666993569856,,1
2022-08-27 18:43:00,2369.514173508452,,1,2121.427426225157,,1
2022-08-29 10:55:00,2370.245121611405,,1,2117.399782261962,,1
2022-08-29 13:08:00,2366.661025597042,,1,2117.0401308671007,,1
2022-08-29 13:51:00,2366.800920077998,,1,2114.592220877978,,1
2022-08-29 14:47:00,2368.203719270011,,1,2176.3655318034816,,1
2022-10-17 11:17:00,2364.087743666143,,1,2136.528808444521,,1
2022-10-17 12:54:00,2365.362699185317,,1,2133.3881688232614,,1
2022-10-17 14:27:00,2364.616079643464,,1,2137.015919891906,,1
2022-10-17 16:01:00,2365.4389131753637,,1,2132.5071306537047,,1
2022-10-17 17:43:00,2364.7457805841395,,1,2131.0875308584555,,1
2022-10-18 11:31:00,2365.4530665648745,,1,2132.9619788655277,,1
2022-10-18 13:07:00,2364.408225796196,,1,2135.7384501062884,,1
2022-10-18 14:52:00,2364.7221479078403,,1,2133.4847751118327,,1
2022-10-18 16:22:00,2366.003827144265,,1,2133.984631891877,,1
2022-10-19 09:50:00,2363.4433960304973,,1,2134.484017578678,,1
2022-10-19 11:26:00,2364.201457318836,,1,2137.7901282908947,,1
2022-10-19 12:57:00,2364.3940678899767,,1,2135.338997838218,,1
2022-10-19 14:37:00,2365.094971114138,,1,2129.782310513455,,1
2022-10-19 16:42:00,2364.333754902964,,1,2131.858756674122,,1
2022-10-20 09:48:00,2365.17505536314,,1,2123.716372296743,,1
2022-10-20 11:35:00,2365.175055407958,,1,2124.5795428067527,,1
2022-10-20 13:08:00,2364.814745187058,,1,2120.727143209136,,1
2022-10-20 16:27:00,2366.139617789825,,1,2123.644760920507,,1
2022-10-20 18:06:00,2365.482033932692,,1,2124.0981915931784,,1
2022-10-21 09:23:00,2364.2228364104603,,1,2136.4966852639777,,1
2022-10-21 10:58:00,2364.148974877214,,1,2132.5101900262084,,1
